id,school_level,grade,term,exam_type,category1,category2,category3,importance,japanese,english,phonetic,example,pos_code,pos_full,pos_j,antonym,antonym_jp,note
51,junior,2,2,final,PROGRAM4,Scens3,,覆う,cover,/ˈkʌv.ər/,She covered the table with a cloth.,動,verb,動詞,uncover,覆いを取る,「cover」はラテン語cooperire（覆う）が語源。「cover a story」で“取材する”の意味。,
52,junior,2,2,final,PROGRAM4,Scens3,,頭巾,hood,/hʊd/,He wore a hood on his jacket.,名,noun,名詞,—,—,古英語hōdが語源。neighborhood（近所）などにも使われる。,
53,junior,2,2,final,PROGRAM4,Scens3,1.0,〜しなければならない,have to,/ˈhæv tuː/,You have to study hard.,動,verb phrase,動詞句,don’t have to,〜しなくてよい,義務を表す。mustよりやわらかい表現。,
54,junior,2,2,final,PROGRAM4,Scens3,1.0,しなくてよい,don’t have to,/doʊnt hæv tuː/,You don’t have to hurry.,動,verb phrase,動詞句,have to,〜しなければならない,禁止ではなく“不要”の意味。,
55,junior,2,2,final,PROGRAM4,Part3,,ビーバー,beaver,/ˈbiː.vər/,A beaver builds dams with wood.,名,noun,名詞,—,—,働き者の象徴として使われる動物。,
56,junior,2,2,final,PROGRAM4,Part3,,彼らは,they're,/ðeər/,They're playing outside.,短,contraction,短縮形,they are,彼らは（完全形）,“they are”の短縮形。発音はゼア。,
57,junior,2,2,final,PROGRAM4,Part3,1.0,建てる、繰り上げる,build,/bɪld/,They built a new house.,動,verb,動詞,destroy,壊す,「build up」で「高める、発展させる」。,
58,junior,2,2,final,PROGRAM4,Part3,ダム,dam,/dæm/,The dam holds back the water.,名,noun,名詞,—,—,ビーバーの巣も“dam”と呼ばれる。,,
59,junior,2,2,final,PROGRAM4,Part3,山小屋、巣,lodge,/lɒdʒ/,We stayed in a mountain lodge.,名,noun,名詞,—,—,動詞では“申し立てる(lodge a complaint)”の意味も。,,
60,junior,2,2,final,PROGRAM4,Part3,技術者,engineer,/ˌen.dʒɪˈnɪr/,He is a civil engineer.,名,noun,名詞,—,—,“civil engineer（土木技師）”“software engineer（ソフト開発者）”。,,
61,junior,2,2,final,PROGRAM4,Part3,1.0,〜を切り倒す,cut down,/kʌt daʊn/,They cut down the old tree.,句,phrase,句,plant,植える,“cut down on〜”で「〜を減らす」。,
62,junior,2,2,final,PROGRAM5,Scene1,"平板,タブレット",tablet,/ˈtæb.lət/,She bought a new tablet.,名,noun,名詞,—,—,古くは「石板」や「錠剤」の意味。modern＝電子端末。,,
63,junior,2,2,final,PROGRAM5,Scene1,チェス,chess,/tʃes/,He plays chess every weekend.,名,noun,名詞,—,—,インド起源。checkmate＝「王手」。,,
64,junior,2,2,final,PROGRAM5,Scene1,1.0,両方,both,/boʊθ/,Both students passed the test.,副,adverb,副詞,neither,どちらも〜ない,代名詞・形容詞としても使える多機能語。,
65,junior,2,2,final,PROGRAM5,Scene2,1.0,メートル,meter,/ˈmiː.tər/,The room is five meters long.,名,noun,名詞,—,—,英ではmetre。単位名で最も基本的な語。,
66,junior,2,2,final,PROGRAM5,Scene2,1.0,〜になる,become,/bɪˈkʌm/,He became a teacher.,動,verb,動詞,remain,〜のままでいる,“become＋形容詞/名詞”で状態変化。,
67,junior,2,2,final,PROGRAM5,Scene2,運動選手,athlete,/ˈæθ.liːt/,The athlete won a medal.,名,noun,名詞,—,—,ギリシャ語athlos（競技）が語源。,,
68,junior,2,2,final,PROGRAM5,Scene2,1.0,起こる,happen,/ˈhæp.ən/,What happened yesterday?,動,verb,動詞,prevent,防ぐ,“happen to〜”で「たまたま〜する」。,
69,junior,2,2,final,PROGRAM5,Scene2,1.0,〜位になる,get ~ place,/ɡet pleɪs/,She got first place in the race.,句,phrase,句,lose,負ける,競技などの順位表現で使用。,
70,junior,2,2,final,PROGRAM5,Scene3,1.0,貸す,lend,/lend/,Can you lend me your pen?,動,verb,動詞,borrow,借りる,“lend A B”で「AにBを貸す」。,
71,junior,2,2,final,PROGRAM5,Scene3,エプロン,apron,/ˈeɪ.prən/,She wore an apron while cooking.,名,noun,名詞,—,—,語源は“napron”。音の変化に注意。,,
72,junior,2,2,final,PROGRAM5,Part1,1.0,一員,member,/ˈmem.bər/,He’s a member of the club.,名,noun,名詞,—,—,“membership”は会員資格。,
73,junior,2,2,final,PROGRAM5,Part1,扱う,treat,/triːt/,She treats everyone kindly.,動,verb,動詞,mistreat,乱暴に扱う,“treat A as B”構文を覚えると便利。,,
74,junior,2,2,final,PROGRAM5,Part1,親切に,kindly,/ˈkaɪnd.li/,He spoke kindly to the child.,副,adverb,副詞,unkindly,不親切に,形容詞kindから派生した副詞。,,
75,junior,2,2,final,PROGRAM5,Part1,商品、品物,goods,/ɡʊdz/,These goods are made in Japan.,名,noun,名詞,—,—,常に複数形で使われる。,,
76,junior,2,2,final,PROGRAM5,Part1,棚,shelf,/ʃelf/,Put the books on the shelf.,名,noun,名詞,—,—,複数形はshelves。,,
77,junior,2,2,final,PROGRAM5,Part1,棚の複数形,shelves,/ʃelvz/,The shelves are full of books.,名,noun,名詞,—,—,複数形の発音変化に注意。,,
78,junior,2,2,final,PROGRAM5,Part1,落とす,drop,/drɒp/,Don’t drop your phone!,動,verb,動詞,pick up,拾う,“drop by”で「立ち寄る」。,,
79,junior,2,2,final,PROGRAM5,Part1,ひと包み,pack,/pæk/,I bought a pack of cards.,名,noun,名詞,unpack,開封する,“backpack”“package”など派生多数。,,
80,junior,2,2,final,PROGRAM5,Part1,まちがい,mistake,/mɪˈsteɪk/,I made a big mistake.,名,noun,名詞,correction,訂正,“mistake A for B”＝AをBと間違える。,,
81,junior,2,2,final,PROGRAM5,Part1,〜のせいにする,blame,/bleɪm/,Don’t blame others for your error.,動,verb,動詞,praise,褒める,“blame A for B”構文。,,
82,junior,2,2,final,PROGRAM5,Part1,1.0,よかったね,Good for you.,/ɡʊd fɔː juː/,Good for you! You passed!,句,phrase,句,—,—,日常会話で「よかったね！」の定番表現。,
83,junior,2,2,final,PROGRAM5,Part1,1.0,まちがって,by mistake,/baɪ mɪˈsteɪk/,I sent it by mistake.,句,phrase,句,on purpose,わざと,by＋名詞で副詞句を作る好例。,
84,junior,2,2,final,PROGRAM5,Part2,1.0,すべてのもの,everything,/ˈev.ri.θɪŋ/,Everything is ready.,名,noun,名詞,nothing,何も〜ない,thingから派生。代名詞的に使える。,
85,junior,2,2,final,PROGRAM5,Part2,"項目,細部",particular,/pəˈtɪk.jə.lər/,I’m not particular about food.,形,adjective,形容詞,general,一般的な,“in particular”で「特に」。,,
86,junior,2,2,final,PROGRAM5,Part2,待合室,waiting room,/ˈweɪ.tɪŋ ruːm/,Please wait in the waiting room.,名,noun,名詞,—,—,“waiting list（順番待ち）”も覚えておくと良い。,,
87,junior,2,2,final,PROGRAM5,Part2,さびしい,lonely,/ˈləʊn.li/,He felt lonely at night.,形,adjective,形容詞,sociable,社交的な,aloneとは意味が違う（孤独感）。,,
88,junior,2,2,final,PROGRAM5,Part2,1.0,決める,decide,/dɪˈsaɪd/,We decided to go by train.,動,verb,動詞,hesitate,ためらう,“decide to do”構文で使う。,
89,junior,2,2,final,PROGRAM5,Part2,話した,spoke,/spoʊk/,He spoke softly.,動,verb,動詞,—,—,speakの過去形。,,
90,junior,2,2,final,PROGRAM5,Part2,聞き手,listener,/ˈlɪs.ən.ər/,She is a good listener.,名,noun,名詞,speaker,話し手,“listen”＋“-er”で「聞く人」。,,
91,junior,2,2,final,PROGRAM5,Part2,"行動,動作",action,/ˈæk.ʃən/,Take action to protect nature.,名,noun,名詞,inaction,不作為,“take action”は定型表現。,,
92,junior,2,2,final,PROGRAM5,Part2,特に,in particular,/ɪn pəˈtɪk.jə.lər/,"I like fruit, in particular apples.",句,phrase,句,—,—,「特に」の意味。in＋形容詞句。,,
93,junior,2,2,final,PROGRAM5,Part2,1.0,行動を起こす,take action,/teɪk ˈæk.ʃən/,We must take action now.,句,phrase,句,do nothing,何もしない,慣用表現。環境問題などでよく使う。,
94,junior,2,2,final,PROGRAM5,Part3,"保育園,託児所",nursery school,/ˈnɜː.sər.i skuːl/,She goes to nursery school.,名,noun,名詞,—,—,“nursery”は苗床の意味もある。,,
95,junior,2,2,final,PROGRAM5,Part3,うたた寝,nap,/næp/,He took a short nap.,名,noun,名詞,wakefulness,覚醒,“take a nap”で昼寝する。,,
96,junior,2,2,final,PROGRAM5,Part3,〜の横,beside,/bɪˈsaɪd/,The dog sat beside me.,前,preposition,前置詞,away from,〜から離れて,「besides（その上）」と混同注意。,,
97,junior,2,2,final,PROGRAM5,Part3,落ちるの過去形,fell,/fel/,The apple fell from the tree.,動,verb,動詞,rise,上がる,fallの過去形。発音はfell。,,
